32, 24, 32, Dunegony.png, Rivery.png, 
0:10, 0:0, 1:7, 0:36, 0:33, 1:45, 1:86, 0:9, 0:14, 1:31, 0:40, 0:33, 1:147, 1:88, 0:40, 1:63, 1:145, 0:0, 0:11, 0:3, 1:91, 0:22, 0:46, 1:140, 1:156, 1:10, 1:19, 1:11, 1:22, 0:32, 1:87, 0:41, 
1:138, 1:45, 1:48, 0:15, 0:9, 0:3, 1:17, 0:17, 1:18, 0:12, 0:3, 0:6, 1:35, 0:36, 0:45, 1:83, 1:104, 0:43, 1:125, 0:15, 0:28, 0:17, 0:8, 0:44, 1:132, 0:22, 0:26, 1:149, 1:160, 0:36, 0:22, 0:1, 
1:79, 1:1, 1:8, 0:23, 0:4, 0:38, 1:62, 0:8, 0:0, 0:18, 1:74, 0:44, 0:39, 0:5, 0:4, 1:73, 0:19, 1:62, 0:22, 1:79, 0:42, 0:43, 0:19, 0:11, 1:30, 0:38, 0:8, 0:13, 0:9, 1:97, 0:29, 0:21, 
0:24, 1:31, 1:40, 1:131, 0:31, 0:48, 0:2, 1:98, 0:37, 1:76, 1:79, 1:75, 0:35, 1:97, 0:4, 1:135, 0:35, 1:101, 1:51, 1:28, 0:45, 0:34, 1:43, 0:26, 1:62, 0:40, 1:71, 0:23, 0:17, 0:5, 1:129, 1:151, 
1:84, 1:34, 0:2, 0:25, 1:0, 0:2, 1:143, 1:92, 0:2, 0:0, 1:10, 1:69, 0:5, 1:126, 0:37, 1:1, 0:38, 0:10, 0:4, 0:21, 1:36, 0:27, 1:38, 0:12, 0:0, 0:2, 1:150, 1:161, 1:89, 1:90, 0:31, 0:45, 
1:38, 0:35, 1:155, 0:20, 0:41, 1:11, 0:31, 0:12, 1:40, 0:40, 0:45, 0:37, 1:68, 0:6, 0:35, 0:26, 0:30, 1:22, 1:12, 1:2, 1:89, 1:116, 1:24, 0:25, 1:24, 1:63, 1:148, 1:123, 0:26, 0:26, 0:41, 1:96, 
1:98, 1:76, 1:32, 1:125, 0:16, 0:6, 0:2, 0:35, 0:47, 1:8, 1:153, 0:12, 0:42, 0:20, 1:130, 1:71, 0:14, 1:1, 1:105, 0:38, 0:28, 0:18, 0:0, 0:39, 1:56, 0:21, 0:46, 0:26, 0:31, 1:123, 1:98, 0:38, 
0:12, 1:161, 0:22, 1:65, 0:25, 1:115, 0:47, 0:19, 0:47, 1:60, 0:11, 1:13, 1:73, 0:13, 1:33, 1:83, 1:14, 0:17, 1:145, 1:33, 1:126, 0:4, 1:98, 0:39, 0:18, 0:31, 0:23, 0:9, 0:24, 1:33, 1:38, 0:10, 
1:80, 1:15, 1:149, 1:106, 1:65, 1:95, 0:17, 1:110, 1:81, 0:6, 0:13, 0:23, 0:1, 0:28, 1:82, 1:36, 0:10, 0:29, 1:14, 1:27, 0:36, 1:151, 1:120, 0:16, 1:69, 1:130, 0:11, 0:8, 1:68, 1:57, 1:42, 1:113, 
0:18, 0:27, 0:40, 1:1, 0:22, 1:131, 0:47, 0:42, 0:38, 0:17, 1:114, 1:105, 1:35, 1:1, 0:19, 1:148, 1:117, 0:18, 0:2, 1:12, 0:28, 1:131, 0:28, 1:64, 0:33, 1:122, 0:36, 1:35, 0:40, 1:4, 0:35, 1:136, 
1:2, 0:6, 0:13, 0:44, 1:76, 1:159, 1:151, 0:16, 0:11, 0:20, 0:3, 0:48, 1:56, 0:13, 0:0, 0:10, 1:127, 1:74, 0:19, 0:29, 0:14, 1:37, 1:119, 1:125, 1:99, 1:108, 1:114, 0:20, 1:133, 1:70, 0:25, 1:46, 
